index,Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6
128,56C0930,407105,424856,2,12/06/2018,1405,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,57,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
129,56C1054,405655,423182,1,14/06/2018,850,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,10,,,,,,,,,,,,,,,,,,,,,,,,,
130,56C1338,406974,429774,2,12/06/2018,1658,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,48,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
131,56D0393,409121,425241,2,13/06/2018,852,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,42,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
132,56E0645,400187,427313,2,14/06/2018,1049,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,83,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
133,56F1049,415384,422703,2,15/06/2018,1452,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,20,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
134,56F1467,407029,427522,2,15/06/2018,1755,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Serious,Male,28,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
135,56G1182,400634,415258,2,16/06/2018,1520,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,35,Goods vehicle 7.5 tonnes mgw and over,Vehicle or pillion passenger,Slight,Female,13,,,,,,,,,,,,,,,,,,,,
136,56G1338,406089,423628,1,16/06/2018,1650,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Serious,Male,69,,,,,,,,,,,,,,,,,,,,,,,,,
137,56I0659,405701,423371,2,18/06/2018,1135,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,48,Car,Driver or rider,Slight,Male,30,,,,,,,,,,,,,,,,,,,,
138,56J0695,391214,426177,2,19/06/2018,1130,A,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Driver or rider,Slight,Female,36,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
139,56K0799,393039,423189,1,20/06/2018,1250,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,73,,,,,,,,,,,,,,,,,,,,,,,,,
140,56K0956,414776,422788,2,20/06/2018,1415,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,38,Car,Vehicle or pillion passenger,Slight,Female,51,,,,,,,,,,,,,,,,,,,,
141,56M1039,400772,424860,2,22/06/2018,1431,B,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,51,Motorcycle over 125cc and up to 500cc,Vehicle or pillion passenger,Serious,Female,30,,,,,,,,,,,,,,,,,,,,
142,56O0150,407436,430176,3,24/06/2018,200,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,43,Car,Vehicle or pillion passenger,Slight,Male,50,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
143,56O0904,398065,426953,2,24/06/2018,1319,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,75,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
144,56O1289,405875,423976,2,24/06/2018,1625,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,11,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
145,56P1809,400255,426523,2,25/06/2018,1937,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Female,52,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
146,56Q1217,406688,425923,2,26/06/2018,1540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Mobility Scooter,Driver or rider,Slight,Male,55,Bus or coach (17 or more passenger seats),not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
147,56R0438,405322,420270,1,27/06/2018,715,B,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,51,,,,,,,,,,,,,,,,,,,,,,,,,
148,56R0589,417615,420647,1,27/06/2018,1012,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,52,,,,,,,,,,,,,,,,,,,,,,,,,
149,56R1098,414183,423529,2,27/06/2018,1429,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,44,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
150,56S0814,405364,420291,2,28/06/2018,1235,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,27,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
151,56T0401,412765,428963,2,29/06/2018,730,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,28,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
152,56T1002,407484,424293,3,29/06/2018,929,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,26,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
153,56T1095,407506,424657,1,29/06/2018,1328,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,6,,,,,,,,,,,,,,,,,,,,,,,,,
154,56T1354,405191,422860,2,29/06/2018,1529,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,5,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
155,56U0788,414734,424569,3,30/06/2018,1045,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,59,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
156,5721915,413781,421549,2,02/07/2018,2019,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,33,Motorcycle over 125cc and up to 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
157,5731154,416467,422063,2,03/07/2018,1537,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,45,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
158,5731405,416824,422528,2,03/07/2018,1730,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,54,Goods vehicle 7.5 tonnes mgw and over,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
159,5740392,413245,420679,2,04/07/2018,734,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,28,Car,Driver or rider,Slight,Male,21,,,,,,,,,,,,,,,,,,,,
160,5741082,409772,423859,2,04/07/2018,1450,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,29,Car,Driver or rider,Slight,Male,23,,,,,,,,,,,,,,,,,,,,
161,5751089,414788,423020,2,05/07/2018,1512,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,52,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
162,5761064,416281,422177,2,06/07/2018,1416,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,27,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Female,33,,,,,,,,,,,,,,,,,,,,
163,5770613,407971,425797,2,07/07/2018,820,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,16,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
164,5772021,392124,425594,2,07/07/2018,2005,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,70,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
165,57E1696,409310,424615,2,14/07/2018,1915,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,57,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
